Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Adémia;Com Exploração;Apeadeiro;Linha do Norte;Trouxemil e Torre de Vilela;COIMBRA;COIMBRA
Caniços;Com Exploração;Estação;Linha de Guimarães;Bairro;VILA NOVA DE FAMALICÃO;BRAGA
Donas;Com Exploração;Apeadeiro;Linha da Beira Baixa;Fundão, Valverde, Donas, A. Joanes, A. Nova do Cabo;FUNDÃO;CASTELO BRANCO
Lapa do Lobo;Com Exploração;Apeadeiro;Linha da Beira Alta;Lapa do Lobo;NELAS;VISEU
Ameal;Com Exploração;Apeadeiro;Linha do Norte;Taveiro, Ameal e Arzila;COIMBRA;COIMBRA
Régua;Com Exploração;Estação;Linha do Douro;Peso da Régua e Godim;PESO DA RÉGUA;VILA REAL
Valadares;Com Exploração;Apeadeiro;Linha do Norte;Gulpilhares e Valadares;VILA NOVA DE GAIA;PORTO
Barracão-Sabugal;Com Exploração;Apeadeiro;Linha da Beira Baixa;Panoias de Cima;GUARDA;GUARDA
Valado;Com Exploração;Estação;Linha do Oeste;Valado dos Frades;NAZARÉ;LEIRIA
Soito;Com Exploração;Apeadeiro;Linha da Beira Alta;Espinho;MORTÁGUA;VISEU
Pinhão;Com Exploração;Estação;Linha do Douro;Pinhão;ALIJÓ;VILA REAL
Campo-Serra;Com Exploração;Apeadeiro;Linha do Oeste;Tornada e Salir do Porto;CALDAS DA RAINHA;LEIRIA
Pampilhosa;Com Exploração;Estação;Linha do Norte;Pampilhosa;MEALHADA;AVEIRO
Évora;Com Exploração;Estação;Linha de Évora;Malagueira e Horta das Figueiras;ÉVORA;ÉVORA
Bombarral;Com Exploração;Estação;Linha do Oeste;Bombarral e Vale Covo;BOMBARRAL;LEIRIA
Arentim;Com Exploração;Estação;Ramal de Braga;Arentim e Cunha;BRAGA;BRAGA
Parada;Com Exploração;Apeadeiro;Linha do Douro;Parada de Todeia;PAREDES;PORTO
Luz;Com Exploração;Apeadeiro;Linha do Algarve;Luz de Tavira e Santo Estêvão;TAVIRA;FARO
Penteado;Com Exploração;Apeadeiro;Linha do Alentejo;Moita;MOITA;SETÚBAL
Portela de Sintra;Com Exploração;Apeadeiro;Linha de Sintra;S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim;SINTRA;LISBOA
Lavradio;Com Exploração;Estação;Linha do Alentejo;Barreiro e Lavradio;BARREIRO;SETÚBAL
Porto de Sines;Com Exploração;Estação;Linha de Sines;Sines;SINES;SETÚBAL
Feliteira;Com Exploração;Apeadeiro;Linha do Oeste;Dois Portos e Runa;TORRES VEDRAS;LISBOA
Guimarães;Com Exploração;Estação;Linha de Guimarães;Urgezes;GUIMARÃES;BRAGA
Lapa;Com Exploração;Apeadeiro;Linha do Vouga;São Paio de Oleiros;SANTA MARIA DA FEIRA;AVEIRO
Oiã ;Com Exploração;Estação;Linha do Norte;Oiã;OLIVEIRA DO BAIRRO;AVEIRO
Suzão;Com Exploração;Apeadeiro;Linha do Douro;Valongo;VALONGO;PORTO
Virtudes;Com Exploração;Apeadeiro;Linha do Norte;Aveiras de Baixo;AZAMBUJA;LISBOA
Nespereira;Com Exploração;Apeadeiro;Linha de Guimarães;Nespereira;GUIMARÃES;BRAGA
Algoz;Com Exploração;Apeadeiro;Linha do Algarve;Algoz e Tunes;SILVES;FARO
Areia - Darque;Com Exploração;Apeadeiro;Linha do Minho;Darque;VIANA DO CASTELO;VIANA DO CASTELO
Lordelo;Com Exploração;Estação;Linha de Guimarães;Lordelo;GUIMARÃES;BRAGA
Albergaria-a-Nova;Com Exploração;Apeadeiro;Linha do Vouga;Branca;ALBERGARIA-A-VELHA;AVEIRO
Tortosendo;Com Exploração;Estação;Linha da Beira Baixa;Tortosendo;COVILHÃ;CASTELO BRANCO
Casais;Com Exploração;Apeadeiro;Linha do Norte;São Martinho do Bispo e Ribeira de Frades;COIMBRA;COIMBRA
Cela;Com Exploração;Apeadeiro;Linha do Oeste;Cela;ALCOBAÇA;LEIRIA
Ródão;Com Exploração;Estação;Linha da Beira Baixa;Vila Velha de Ródão;VILA VELHA DE RÓDÃO;CASTELO BRANCO
Carriço;Com Exploração;Apeadeiro;Linha do Oeste;Carriço;POMBAL;LEIRIA
